	file	artist	title	lyrics
25	TRAACFV128F935E50B.h5	SUE THOMPSON	James (Hold The Ladder Steady)	"James, James I'm packed tonight I'm ready
James, James hold the ladder steady
I'm a'comin' down to your ar-ar-ar-rms
I'm a'comin' down to your arms
Now James and I we went to mama and showed her my diamond ring
She said ""my poor little baby, you must be crazy, to think of such a thing""
So James, James hold the ladder steady
James, James I'm packed tonight I'm ready
James, James hold the ladder steady
I'm a'comin' down to your ar-ar-ar-rms
I'm a'comin' down to your arms
Now James and I we went to daddy and said that we want to be wed
Daddy said ""nope, you'll just have to elope"" and laughed as he went to bed""
But James, James hold the ladder steady
James, James I'm packed tonight I'm ready
James, James hold the ladder steady
I'm a'comin' down to your ar-ar-ar-rms
I'm a'comin' down to your arms
I'd hate to see 'em in the morning when they both completely flip
He'll be sayin' ""they cain't"", she'll be feeling faint""
And I'll be kissing my husband's lips
So James, James hold the ladder steady
James, James I'm packed tonight I'm ready
James, James hold the ladder steady
I'm a'comin' down to your ar-ar-ar-rms
I'm a'comin' down to your arms

James, James hold the ladder steady
James, James I'm packed tonight I'm ready
James, James hold the ladder steady"
26	TRAACHN128F1489601.h5	Five Bolt Main	Made Like This (Live)	"Conclusions, illusions, of mainstream intrusions
I'm saying this is just your life
Brain of the main-frame, life
Your single one and only life
I'm starting from the back again, it's never ending
Ran off the track yes once again, the vibe is sending
So far from where I might have been, this message pending
I won't stop looking back again, the road is bending
Time exists on a band 'round your wrist, and the people you trust should be last on your list


We could solve the world's problems with just one wish, we were made like this
Time exists on a band 'round your wrist, and the people you trust should be last on your list
We could solve the world's problems with just one wish, we were made like this
Made like this, made like this
I'm saying this is just your life
(Chorus)
This is just your life, I'm saying this is just your life"
29	TRAACNS128F14A2DF5.h5	Willie Bobo	Spanish Grease	"Ain't no love
Ain't no love
Ain't no love
Ain't no love

We're missing in action living in a time when it's in fashion
To be gun flashing, blasting that's why we ain't lasting
All fastened, strapped ready for rivals harassing
Looking over your shoulder ducking cars that are passing
In my rumbo you hear that latin lingo
Guns shoot through at pachucos fuckin? sickos
With four nickels nobody walks around single
Get caught slipping they'll pull your card from a window
It's that simple locals get gaffled by barrio locos
Steal their spanish grease making them shed a tear like willie bobo
Over dollars, chains and rings things that are worth poco
A coco's out there stealing 'cause they're fiending for perico
A head crack will strike and attack for a sack
Pawn or sell your shit to buy a rock and bring that high back
That's why I strap it's my defense against those
Who are committing defense randomly becoming foes?
Shit is survival of fittest testing who's biggest and realest on the street
Feel this beware of killers, stealers and dealers
Rebel guerillas striking on policemen who give us
Hard times in the city where no love is with us

Ain't no love
Ain't no love
In the city?
In the city?

Ain't no love
Ain't no love
Ain't no love
Ain't no love
In the city
In the city
In the city
In the city

Ain't no love"
32	TRAACQT128F9331780.h5	John Wesley	The Emperor Falls	"Brick by brick
stone by stone
dismantle the will of a man
strip his flesh and bone

Reach out your hand
the moment comes
blade catches the light of your eyes
the man slowly comes undone

Nobody noticed
no one saw a thing
all turned a blind eye to the fallen
and the bad luck he brings

You wake in the morning after
the sky's a color that you can't see
friends have fallen by the wayside
why isn't anyone talking to me
get those funny looks in the market
people you loved just stare
wander on with your hands in your pockets
even your girlfriend don't care

They've all come to watch the emperor
They've all come to watch the emperor
They've all come to watch the emperor

To watch the emperor fall

One part truth
three parts deceit
two parts shit that you made up
add passion for heat

Did ya hear he said this
can you believe he done that
can you believe the nerve of the man
let me at him tell me where he's at
wake to your fave in the mirror
see someone you don't recognize
stare at the changes in the reflection
you've become someone that you despise"
33	TRAACSL128F93462F4.h5	The Shangri-Las	Twist and Shout	"Well, shake it up, baby, now, (shake it up, baby)
A twist and shout. (twist and shout)
A c'mon baby, now, (come on baby)
Come on and work it on out.now (work it on out)

Well, work it on out, honey. (work it on out)
Yeah you know you look so good. (you look so fine)
Yeah you know you got me goin' (now you got me goin')
Just like I knew you would. (just like I knew you would)

Well, shake it up, baby, now, (shake it up, baby)
A twist and shout. (twist and shout)
A c'mon, baby, now, (come on baby)
Come on and work it on out now. (work it on out)

Well twist-a little boy, (twist-a, little boy)
You know you twist so fine. (you twist so fine)
Come on and twist a little closer (come and twist a little closer)
Come on and show me that youre mine. (show me you're mine)

Ah, ah, ah, ah, ahhhhhh

Well, shake it up, baby, now, (shake it up, baby)
A twist and shout. (come on an twist and shout)
C'mon, baby, now, (come on baby)
Come on and work it on out now (come on an work it on out)

Well twist -ar little boy, (twist-a little girl)
You know you twist so fine. ( know you twist so fine)
Come on and twist a little closer, (come on and twist a little closer)
Come on and let me show mw that you're mine. (show me your mine)

Ah, ah, ah, ah, ahhhhhh, ahhhhhhh

Well, shake it up baby now ( shake it up baby),
Well, shake it up baby now ( gonna twist and shout),
Well, shake itshake it baby now ( shake it up baby),
A work it on -out now ( work it on out)

Shake it shake it baby ( shake it up baby)
Shake it shake it baby (twist and shout) 
Shake it shake it woah ( shake it up baby) 
ohhh ohh ohh ohhh (twist and shout) 
ohhh ohh ohh ohhh"
34	TRAACTB12903CAAF15.h5	Billie Jo Spears	It Makes No Difference Now	"Makes no difference now what kind of life fate hands me
I'll get along without you now that's plain to see
I don't care what happens next 'cause I'll get by somehow
I don't worry 'cause it makes no difference now

It was just a year ago when I first met you
I learned to love you and I thought you loved me too
But now that's all in the past and I'll forget somehow
I don't worry 'cause it makes no difference now

Now that we have really parted I can't believe we're through
I don't blame myself and I'm sure I can't blame you
I know that something had to happen and it happened somehow
I don't worry 'cause it makes no difference now

After all is said and done I'll soon forget you
Although I know that it will be so hard to do
Let things happen as they will and I'll get by somehow
I don't worry 'cause it makes no difference now"
42	TRAADLH12903CA70EE.h5	The Suicide Machines	Burning In The Aftermath	"Since 1989 it seems that everyone's
forgotten the time when
intercontinental ballistics ruled the 
world and the cold war raged

(Chorus:) Nuclear Family Nuclear War (4x)

Alarming to me it seems that ignorance
is still a disease and how so many
haven't a clue or a care about the threat
that still hangs over our heads

(Chorus 8x)

Burning in the aftermath (4x)"
43	TRAADLN128F14832E9.h5	The Rolling Stones	Angie (1993 Digital Remaster)	"Angie, Angie
When will those clouds all disappear?
Angie, Angie
Where will it lead us from here?

With no lovin' in our souls
And no money in our coats
You can't say we're satisfied
But Angie, Angie
You can't say we never tried

Angie, you're beautiful, yeah
But ain't it time we said goodbye?
Angie, I still love ya
Remember all those nights we cried?

All the dreams we held so close
Seemed to all go up in smoke
Let me whisper in your ear
Angie, Angie
Where will it lead us from here?

Oh, Angie, don't you weep
All your kisses still taste sweet
I hate that sadness in your eyes
But, Angie (wooh), Angie
Ain't it time we said goodbye, yeah?

With no lovin' in our souls
And no money in our coats
You can't say we're satisfied
But Angie, I still love you, baby
Everywhere I look, I see your eyes
There ain't a woman that comes close to you
Come on, baby, dry your eyes

But Angie, Angie
Ain't it good to be alive?
Angie, Angie
They can't say we never tried"
45	TRAADLX128F1469250.h5	Loudon Wainwright III	Human Cannonball	"Emmanuel Zucchini Senior
The Human Cannonball
Died in Sarasota Monday
Eighty-four was all
From Italy in Thirty-four
John Ringling brought him here
Broken neck in Fifty-one
Ended his career

But in those years in between
Seventeen in all
Few flew as fast or as far
As the Cannonball
Fifty-eight yards and one foot
Was the distance that he went
Fifty-four miles in an hour
The speed that he was sent

Two of his brothers and two daughters
Nine grandchildren in all
And the one great grandchild
Survive the Cannonball
He died on Monday where he lived
It happens to us all
Shot through the air expecting nets
A flight and then a fall"
47	TRAADNA128F9331246.h5	Stevie Ray Vaughan	Crossfire	"Day by day, night after night
Blinded by the neon lights
Hurry here, hustlin' there
No one's got the time to spare

Money's tight, nothin' free
Won't somebody come and rescue me?
I am stranded, caught in the crossfire
Stranded, caught in the crossfire

Tooth for tooth, eye for an eye
Sell your soul just to buy, buy, buy
Beggin' a dollar, stealin' a dime
Come on, can't you see that I

I am stranded, caught in the crossfire
I am stranded, caught in the crossfire

I need some kind of kindness
Some kind of sympathy oh, no
We're stranded, caught in the crossfire

Save the strong lose the weak
Never turning the other cheek
Trust nobody, don't be no fool
Whatever happened to the golden rule?

We got stranded, caught in the crossfire
We got stranded, caught in the crossfire
We got stranded, caught in the crossfire
Stranded, caught in the crossfire
Help me"
48	TRAADOF12903CAA1C1.h5	John Hammond	I Can't Be Satisfied	"Well, I'm going away to live
Won't be back no more
Going back down south, child
Lord don't you worry 'bout

Woman I'm trouble
Trouble and all worried mind
Well, I just can't be satisfied
Just can't keep on crying

Well, I feel like snapping
Pistol in your face
Going to let some graveyard
Lord be your resting place

Woman I'm trouble
Trouble and all worried mind
Yeah, I just can't be satisfied
Just can't keep on crying

Yeah, I'm all in my sleep
Hear my doorbell ring
Looking for my baby
Lord seen a doggone thing

Woman I'm trouble
Trouble and all worried mind
Yeah, I just can't be satisfied
Just can't keep on crying

Yeah, I know my little old babe
She gonna jump and shout
That old train be late man
Lord I come walking out

Woman I'm trouble
Trouble and all worried mind
Yeah, I just can't be satisfied
Just can't keep on crying, well"
49	TRAADQX128F422B4CF.h5	Casiotone For The Painfully Alone	Nashville Parthenon	"If you ever make it back to Nashville
Remember you have still got a friend
I'll meet you at the Parthenon
That's the place we always went

It's been so dull since you left Nashville
I've read the same books again &amp; again
It makes me wish I wasn't bashful
When it comes to other men

But if I could have my way
Darling you'd come home

Remember when you moved to Nashville
And the first time that we kissed
Remember when your mother found us
Remember that you're sorely missed

And when you make it back to Nashville
We'll forget all of your sins
And I still buy two pairs of everything
So when you come home you &amp; I'll be twins

Because if I could have my way
I wouldn't be alone"
52	TRAADYB128F92D7E73.h5	Eliane Elias	The More I See You	"The more I see you the more I want you
Somehow this feeling just grows and grows
With every sigh I become more mad about you
More lost without you and so it goes

Can you imagine how much I'll love you
The more I see you as years go by?
I know the only one for me can only be you
My arms won't free you, my heart won't try

The more I see you the more I want you
Somehow this feeling just grows and grows
With every sigh I become more mad about you
More lost without you and so it goes

Can you imagine how much I'll love you
The more I see you as years go by?
I know the only one for me can only be you
My arms won't free you, my heart won't try
The more I see you as years go by

Can you imagine how much I'll love you
The more I see you as years go by?
I know the only one for me can only be you
My arms won't free you, my heart won't try
The more I see you as years go by

The more I see you the more I want you
The more I see you the more I want you
The more I see you the more I want you"
53	TRAADYI128E078FB38.h5	Lost Boyz	Certain Things We Do	"(Chorus: Mr. Cheeks)
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night

(Mr. Cheeks)
It's my first night in this spot
I can't front people jump okay it's rather hot
I'm with my brother, while roll he went and got the mole
He said he'll meet us at the party, yeah we just did the show
Now all my peeps is on the floor and they bouncin
The Lost Boyz is in the house, they're announcing (announcing)
We getting lifted with these honeys that we just met
They're dime pieces but ain't slidin with us yet
We gots to get our stroll on, hit the floor once
See eye to eye, he's on his way, he's bringin more pound
No need for my team to front in profile
Two shorties flirtin with Freaky Tah and B-Wild
I see my niggaz in suit, and he's chattin with
This genuine fine ass man (ass man)
Yo kid, I love it when my mind is in the right mist
If you with me throw your elves up like this
Everybody now

(Chorus w/ variations: Mr. Cheeks)
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night

(Mr. Cheeks)
Yo shortie hop with the DK and Y all night
I think I'll walk over there and get my cry on
She playin hard to get, but when I get that
I'ma take it to the S's son I hit that
I can see it in the eyes, cause they don't lie

She's tryin hard to resist baby don't try
Now grab your drink come close to me
It's only right and that's way it's supposed to be
Now we loungin, chillin in the VIP
Got my nigga Ref and Bink with me
G Money &amp; Jeff Star they at the bar
LB fam will, gear up to par
Off the boo and the Queens, shreed and the cuts
We represent fam nigga what
Givin love to everybody walkin by
Throw your elves in the air if you high

(Chorus w/ variations: Mr. Cheeks)
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night

(Mr. Cheeks)
Now I'm wanderin who I'm goin home with
I got two chicks but only one is owned with
I got the whip down South plus some toe up
A favorite motherfucker safe from the floor up
Now the second one's hot cause she got class
See the first one's butt, she ain't got ass
Like she do, now you know how we do
We only fuck with the beat that will feed you
Now do I have to tell you what I did?
Grab my coat, cause shorties in a slid
to her diner, we got our eat on
You know my style kid; I got my treat on
So now we back at the last smokin Cannabis, Sativa
To the bone of the receiver
Put some sounds on as we end the herb
End and that, then again, this world

(Chorus w/ variations: Mr. Cheeks)
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night
All my ladies and mens this evening
We can do this all night"
54	TRAAEAM128F934B199.h5	The Germs	Forming	"Rip them down
Hold me up
Tell them that
I'm your gun
Pull my trigger
I am bigger than-

Mr. Prez in his big White House
Listen, he says, we're comin' out
Infiltration - we're numbin' your minds
Concentration - we've done time

Rip them down
Hold me up
Tell them that
I'm your gun
Pull my trigger
I am bigger than-

Over there, the Queen, she says
Let's stamp them out and dry those tears
Saturation - we want in taxes
Flagellation - we've got gashes

Rip them down
Hold me up
Tell them that
I'm your gun
Pull my trigger
I am bigger than-

In the cold, the czar's claimin'
Just protectin', rockets aimin'
Alteration - earth is changin'
Observation - we want action

Rip them down
Hold me up
Tell them that
I'm your gun
Pull my trigger
I am bigger than-

I, the Emperor, proclaim
Us, the masters, we rule the game
Inclination - somethin' to dream on
Deprivation - we are sons

Rip them down
Hold me up
Tell them that
I'm your gun
Pull my trigger
I am bigger than-"
56	TRAAEEH128E0795DFE.h5	Chris Rea	Driving Home For Christmas	"I'm driving home for Christmas
Oh, I can't wait to see those faces
I'm driving home for Christmas, yeah
Well, I'm moving down that line

And it's been so long
But I will be there
I sing this song
To pass the time away

Driving in my car
Driving home for Christmas

It's gonna take some time
But I'll get there
Top to toe in tailbacks
Oh, I got red lights all around
But soon there'll be a freeway, yeah
Get my feet on holy ground

So I sing for you
Though you can't hear me
When I get through
And feel you near me

Driving in my car
I'm driving home for Christmas
Driving home for Christmas
With a thousand memories

I take look at the driver next to me
He's just the same
Just the same

Top to toe in tailbacks
Oh, I got red lights all around
I'm driving home for Christmas, yeah
Get my feet on holy ground

So I sing for you
Though you can't hear me
When I get through
Oh and feel you near me

Driving in my car
Driving home for Christmas
Driving home for Christmas
With a thousand memories

I take look at the driver next to me
He's just the same
He's driving home, driving home
Driving home for Christmas"
59	TRAAENC128F1451DE9.h5	Francis Dunnery	Too Much Saturn	"I always believed that if I ran off to India
Wore sandals and shaved my head
And used Body Shop conditioner, burned incense like crazy
I could call myself a spirit head
But I only went to India to look on top
I wore sandals 'cause I'd smoked all my money
And I shaved off all my hair 'cause I had the fleas
I'd been sleeping all over
And the Body Shop conditioner was a present from a friend
And the incense used to hide the smell
Of the drug den that I lay in

And so I ask myself what my motives are
For this lying need to look so free
And if I tell myself real honestly
What more can I admit to, open up a door
He said I'm gonna find out what I'm here for
He said I'd find out soon
I got too much Saturn and not enough Moon

I always believed that if I never missed a Yoga class
Read my horoscope in the dailies
And recycle bottles, and know a Red Indian
I could call myself a spirit man
But I was only doing Yoga 'cause I fancied the teacher
And stars 'cause it looked good on paper
And I only went to church 'cause my granny gave me money
When confession was over
And I only knew the Indian 'cause his brother's a dealer
And the bottles had a price on their return
So I could go and play, Oh my my

And so I ask myself what my motives are
For this lying need to look so free
And if I tell myself real honestly
What more can I admit to, open up a door
He said I'm gonna find out what I'm here for
He said I'd find out soon
I got too much Saturn and not enough Moon

So now that you know that I don't love you
And now that you see that I'm so scared
Am I a good man?
Am I a deep, deep man?

What more can I admit to, open up a door
He said I'm gonna find out what I'm here for
He said I'd find out soon
I got too much Saturn
How can I admit it, open up a door
He said I'm gonna find out what I'm here for
He said I'd find out soon
I got too much Saturn and not enough Moon"
63	TRAAEUB12903CDD3EA.h5	The Berzerker	Deform (live)	"Degradation, i don't want your, 
rhinoplasty, i don't need you, 
not any more,
though i am a perverted man,
disproportioned, version of a,
normal man, dirty man,
any surgery can not get the god dam filth out of my head,
Maladjusted, not because of,
my appearance, you can't see past,
how i was born, are you blinded by the way you live?
violated, version of a,
normal man, dirty man,
reconstruction, reformation, reaching out into a shallow world,
My normal features, they gaze with impunity,
i am an animal, don't want to be a man,
i wish destruction on every man i see,
am i a man, am i a man, am i?
to forgive them means loss of my memory,
can i decide between a psycho and a citizen,
no chance of that i want death to my enemy,
i'm not a man, i'm not a man,
How can you think of me? judge of me? watch me?
all i want to be is, is to be free,
Degradation, i don't want your,
rhinoplasty, i don't need you,
though i am a perverted man,
disproportioned, version of a, 
normal man, dirty man,
any surgery can not get the god dam filth out of my head."
64	TRAAEWG128F930B3A4.h5	Kings Of Leon	Wicker Chair	"In your little white wicker chair 
Unsuspicious, nobody cares for you 
You're so fucked up again

You laugh at nothin' in the pouring rain 
You try to tell yourself you're not insane 
You fool, I hate you sometimes

Hey
You know it ain't coincidental that you're lost in place
It's drippin' off your face
And you're losin' your precious mind

But send me a postcard if you get that far
You got a couple pennies in your rusty jar
The truth, you've been gone for awhile

And it's hard lookin' at you when you look that way
With your one night stands and your sleep all days
Ooh, you're such a slut sometimes

But hey
You know it ain't coincidental that you're lost in place
It's drippin' off your face
And you're losin' your precious mind

You're losin' your mind
You're losin' your mind
You're losin' your mind

I said you're losin' your mind
You're losin' your mind
You're losin' your mind
I said you're losin' your mind
You're losin' your mind
You're losin' your mind
I said you're losin' your mind
You're losin' your mind
You're losin' your mind"
67	TRAAFJW128F428A424.h5	NOFX	Stickin In My Eye	"When I look 'round, I only see outta one eye
As the smoke surrounds my head, the sauna
I hear the voices, but I can't make out their words
Saying things, saying things that
I got something sticking in my eye
Got something sticking in my eye
Got something sticking in my eye

I feel unusual from thinking
About the underground decay, God help me
Kill beneath the camera, watch the world begin to cry
It's not from pity
It comes from what's been sticking in my eye
Got something sticking in my eye
Got something sticking in my eye
Got something sticking in my eye
Got something sticking in
Got something sticking in
Got something sticking in my eye"
69	TRAAFMS128F933AB23.h5	Soda Stereo	Entre Caníbales	"Una eternidad
espere este instante
y no lo dejare deslizar
en recuerdos quietos
ni en balas rasantes
que matan...

Ah... come de mi, come de mi carne
Ah... entre caníbales
Ah... tomate el tiempo en desmenuzarme
Ah... entre caníbales

Entre caníbales
el dolor es veneno, nena
y no lo sentirás hasta el fin.
Mientras te muevas lento
y jadees el nombre
que mata...

Ah... come de mi, come de mi carne
Ah... entre caníbales
Ah... tomate el tiempo en desmenuzarme
Ah... entre caníbales

Una eternidad
espere este instante"
72	TRAAFSM128F425A2C5.h5	White Heart	Where The Thunder Roars (Tales Of Wonder Album Version)	"Fire in the air
Burning everywhere
See the signs of a world
That's lost control

Stepping out my door
Isn't safe no more
But I know
It's where I want to go

Out where the thunder roars
Where the lightning strikes
On a distant shore
Out where the thunder roars
I'll stand in the heart of the storm
Where the thunder roars

If it was just me
I could never leave
And be a man
With his face turned to the wind

But I can go out there
Shake the hand of fear
Cause I'm walking
With the Mighty One

Who raised up His voice
To the storm
He'll keep us
Safe and warm

Out where the thunder roars
Where the lightning strikes
On a distant shore
Out where the thunder roars
I'll stand in the heart of the storm

Stand with my head held high
Be a voice of hope
With a lonely cry
Out where the eagles fly
The wonder of love will light up the sky

Out where the thunder roars
See it shine, a seal of time
Out...
Straight to the heart of the storm

The wonder of love
The wonder of love
The wonder of love
All the lonely people
All the needy people

Out where the thunder roars
Come to the heart of the storm
Out where the thunder roars
The wonder of love

Of love...

©1992 Star Song Records"
