file,artist,title,lyrics,mood,year
TRAAKAS128F4246013.h5,Porcupine Tree,Waiting,"Waiting
To be born again
Wanting
The saddest kind of pain
Waiting for the day
When I will crawl away

Nothing
Is what I feel
Waiting
For the drugs to make it real
Waiting for the day
When I will crawl away

Waiting
To be disciplined
Aching
For your nails across my skin
Waiting for the day
When I will crawl
Waiting for the day
When I will crawl away",0,1997
TRAAMJY128F92F5919.h5,DJ Quik,Born and Raised In Compton,"[ VERSE 1 ]
Now everybody wants to know the truth about a brother named Quik
I come from the school of the sly, wicked and the slick
A lotta people already know excatly where it's at
Cause it's the home of the jackers and the crack
(Compton) Yeah, that's the name of the hometown
I'm goin down in the town where my name is all around
The suckers just be havin a fit, and that's a pity
But I ain't doin nothin but (claimin my city)
See, my lyrics I'm doublin up and provin to suckers that I can throw
I'm passin a natural ten or four or six or eight before I go
Yes, I'm definitely freestylin, all the while still profilin
Never a trickster, DJ Quikster steals the show
So now that's how I'm livin
I do as I please, you see 
A younger brother that's up on reality
Cause everybody knows you have to be stompin
If you're born and raised in Compton

(Born and raised)
(Born and raised)
(Born and raised in Compton)

(Where you from, fool?) 
(Compton)

[ VERSE 2 ]
Now Compton is the place where the homeboys chill, you see 
But then I found that it wasn't no place for me
Cause way back in the day somebody musta wanted me to quit
Because they broke in my house and cold stole my shit
They musta thought that I was gonna play the punk role
Just because my equipment got stole
But I ain't goin out like no sucker-ass clown
They found they couldn't keep a dope nigga down
So here's some bass in your face, muthafucka silly sucker-
Ass clocker, now you're duckin, cause you can't stop a brother
Like the Quiksta, because I'm true to the game
You're lame, and things ain't gonn' never be the same
Cause a nigga like the Quik is takin over
I really don't think I should have to explain
It, oh yeah, I'm a dog, but my name ain't Rover
And I'm the kinda nigga that's feelin no pain
Sometimes I have to wear a bullet-proof vest
Because I got the 'Cpt' sign written across my chest
A funky dope brother never ceases to impress
My name is DJ Quik, so you can fuck the rest
I'm comin like this, and I'm comin directly
Cause suckers get dain-bramaged if I'm doin damage quite effectively 
Rhymin is a battlezone, and suckers have no win 
Cause I'm a veteran from the C-o-m-p-t-o-n 
Kick it

(Born and raised)

Hell muthafuckin yeah
Funky dope for the nine-ace
DJ Quik is in the muthafuckin house
Yeah

(Born and raised in Compton)

Yo, check this shit out 
Right about now 
I'd like to send a shout out to my buddy Teddy Bear
What's up nigga?
What's up KK?
My buddy D
We got AMG most definitely in the house
What's up Pretty Greg and Big Baby Brian cold chillin
Talkin about the Armstrong Pack
Straight got my muthafuckin back
To my buddy No Way what's up, fool
Roche is in the house
My buddy Donzelli
You know what's happenin, fool
What's up Itch
And Tony Lang is chillin
To my nigga Gangsta Wayne
And my engineer Joe gettin busy on the flo'
And last but not least I'd like to thank Shabby Blue
And we out 
Peace",1,1991
TRAANLO128F422AE37.h5,Cradle Of Filth,Summer Dying Fast,"Through acrid clouds of summer flies
The garden swells with a thousand more wise
Forever flung to celestial dreams
Clawing at the grave of the dead Nazarene

I watch the storm approaching
The darkness calls my name
The trees are growing restless
They feel the season change
Their fruit has putrefied
Forbidden once and bound to die
The thread of life lies severed
On the brink of paradise

Grinning winds of hate unfurled
Towers tall that grip the sun
Talons stretch 'neath her veil
Reclamation, our time has come
Our time has come

Autumn spreads its golden wings
And lays the path for those unseen
A tangled web of evil spun at last
Winter spawn from barren thighs
To readdress, to slay the blind
And throw the reins untethered to the skies

They pray to the full moon rising
Diana moving with such infinite grace
Wrapped alone in a blanket of nightfall
How many secrets can they read by your face?

Will they know of majesty
Of beauty held in dream-dead sleep
And scarlet seas that bleed the frozen shores?
Will their God of bridled love
Assuage our rule from planes above
Or shrink in fear from chaos roused for war?

War!

Wrest askew the nails
That have held you, lurking deep
September prayers are waning
Burn the shrines of fettered sheep
Spearhead the insurrection
Of a world that seeks no end
We are what we are, what we shall be, again
Again

Appear; draped in terror
To the comfort of your kin
Stain the milky sunset red
And let the others

Summer's dying",0,1994
TRAAOJI128F1458DCD.h5,Heaven 17,(We Don't Need This) Fascist Groove Thang,"(Everybody move to prove the groove)
(Everybody move to prove the groove)
(Everybody move to prove the groove)
(Everybody move to prove the groove)
(Everybody move to prove the groove)
(Everybody move to prove the groove)
(Everybody move to prove the groove)
(Everybody move to prove the groove)

Have you heard it on the news
About this fascist groove thang?
Evil men with racist views
Spreading all across the land
Don't just sit there on your ass
Unlock that funky chaindance
Brothers, sisters, shoot your best
We don't need this fascist groove thang

Brothers, sisters
We don't need this 
Brothers, sisters
We don't need the fascist groove thang

History will repeat itself
Crisis point, we're near the hour
Counterforce will do no good
Hot you ass, I feel your power
Hitler proves that funky stuff
It's not for you and me, girl (no, no, no)
Europe's an unhappy land
They've had their fascist groove thang

Brothers, sisters
We don't need their fascist groove thang
Brothers, sisters
We don't need their fascist groove thang

Democrats are out of power
Across that great wide ocean
Reagan's president elect
Fascist God in motion
Generals tell him what to do
Stop your good time dancing
Train their guns on me and you
Fascist thang advancing

Sisters, brothers lend a hand
Increase your population
Grab that groove thang by the throat
And throw it in the ocean

You're real tonight, you move my soul
Let's cruise out of the dance war
Come out your house and dance your dance
Shake that fascist groove thang (shake it)

Brothers, sisters
We don't need that fascist groove thang
Brothers, sisters
We don't need the fascist groove thang

Brothers, sisters
We don't need their fascist groove thang
Brothers, sisters
We don't need that fascist groove thang

Brothers, sisters
We don't need their fascist groove thang
Brothers, sisters
We don't need their fascist groove thang

Brothers, sisters
We don't need their fascist groove thang
Brothers, sisters
We don't need their fascist groove thang

Brothers, sisters
We don't need their fascist groove thang
Brothers, sisters
We don't need their fascist groove thang

Brothers, sisters
We don't need their fascist groove thang
Brothers, sisters
We don't need their fascist groove thang

Brothers, sisters
We don't need their fascist groove thang
Brothers, sisters
We don't need their fascist groove thang

Brothers, sisters
We don't need their fascist groove thang
Brothers, sisters
We don't need their fascist groove thang

Brothers, sisters
We don't need their fascist groove thang",1,1981
TRAAPFQ128F42684DB.h5,Dimmu Borgir,Master Of Disharmony,"Master of disharmony
welcome my tainted soul
Take me from the hordes of the living
into the blessed darkness
Master of disharmony
take my impure flesh
Lead me into the path of temptation
save me from cowardness

Save me from cowardness

Master of sin
take my cursed heart
Bring me where I can find salvation
for I am the damned

Master of death
take my pitiful life
I am enslaved
I shall never forget the pain

Master of sin
take my cursed heart
Bring me where I can find salvation
for I am the danmed

Master of death
take my pitiful life
I am enslaved
I shall never forget the pain",0,1996
TRAAPVV128F425D64C.h5,Chris Brown,Forever,"One, two, three, four

Heyey, hey
Hey
Heyey

It's you and me
Moving at the speed of light into eternity, yeah
Tonight is the night
That you join me in the middle of ecstasy

Feel the melody in the rhythm of the music around you
Around you

I'm=a take you there, I'ma take you there
So no longer be scared, then I'm right here, baby
We can go anywhere, go anywhere
But first it's your chance, take my hand, come with me

It's like I've waited my whole life for this one night
It's gon' be me, you and the dance floor
'Cause we've only got one life, double your pleasure
Double your fun and dance forever (Ever, ever)

Forever (Ever, ever)
Forever (Ever, ever)

Forever (Ever, ever)
Forever (Ever, ever)
Forever (Ever, ever)
Forever on the dance floor

Feels like we're on another level, aha
Feels like our loves intertwine
We can be two rebels
Breaking the rules me and you, you and I

All you got to do is watch me
Look what I can do with my feet
Baby, feel the beat inside

I'm drivin', you can take the front seat
Just need you to trust me
Oho, oho, yeaheah
It's like!

It's like I've waited my whole life for this one night (One night)
It's gon' be me, you and the dance floor (Dance floor)
'Cause we've only got one life, double your pleasure
Double your fun and dance forever (Ever, ever)

Forever (Ever, ever)
Forever (Ever, ever)
Forever

Forever (Ever, ever)
Forever (Ever, ever)
Forever (Ever, ever)
Forever on the dance floor

It's a long way down, we so high of the ground
Sendin' for an angel to bring me high
Girl, where did you come from, got me so undone
Gazing in your eyes got me singing: ""What a beautiful lady""

No if's, but's or maybe's
Release in my heart and it's feeling amazing
There's no one else that matters you love me
And I won't let you fall, girl, let you fall, girl, ohohoho

Oho, ohoho
Yeah, yeah
I won't let you fall, let you fall
Let you fall, oho, ohohoho

Yeah, yeah

Yeaheah, yeah
It's like

It's like I've waited my whole life for this one night (One night)
It's gon' be me, you and the dance floor (Dance floor)
'Cause we've only got one life, double your pleasure
Double your fun and dance forever (Ever, ever)

Forever (Ever, ever)
Forever (Ever, ever)
Forever

Forever (Ever, ever)
Forever (Ever, ever)
Forever (Ever, ever)
Forever on the dance floor

Oh, ohoho, oh, oh
Ohohoho
Yeaheaheah

Forever, ever, ever
Ever
Forever

Wrigley Doublemint gum Commercial

It's you
And me
Movin at the speed of light into eternity (yeah)
Feel the melody and rhythm of the music around you, around you
I'm a take you there
I'm a take you there
So don't be scared
I'm right here
Ya ready
We can go anywhere, go anywhere
But first it's your chance
Take my hand
Come with me
Double your pleasure
Double your fun
It's the right one
The Doublemint gum
Double your pleasure
Double your fun
It's the right one
The Doublemint gum
Refreshen your life mint
It's the right mint
The Doublemint gum, gum
Double your pleasure
With Doublemint Doublemint gum",1,0
TRAAQIH128F428BDEA.h5,Busdriver,(Bloody Paw On The) Kill Floor,"Buy now, I kill for a living
Buy now, I kill for a living…

I'm fitted for a heat-resistant sleeve
Keep your distance please
Your persona's in question my phosphorescent skin
makes your heat pistons freeze
I'm a hallucinogen pez-dispenser, led ventures
With a group of umpla-lumpa parachute troopers
Who discredit theories and behead your mentors
Who can radio wave windsurf to invert what is common knowledge
I will insert my solemn promise to style until my limbs burst
Negotiate with marketing consultants, giving me the once-over
Wearing grim smirks
They would like me to convert my gritty edge
To unearth my earning potential
But my face is so sun burnt
Due to all the grassroots grunt work
That I won't be co-opted
And every photo-op needs to be photoshopped cropped and snipped
But I'm a street vendor kinds sir
This style-free is dopamine
It's a meat tenderizer at the gallery opening

You can join my suicide cult
Membership is free
Take these cyanide eye-drops
And peppermint hemlock
This is what you have been billed for
Dancing on the kill floor
To vibrant woofer, clients butchered to a film score
This is what you have been killed for
Dancing on the kill floor
To vibrant woofer, clients butchered to a film score

Contrast bohemia to my workplace
When I'm racing in carpool lane
to sell shit to an art school lame
-Don't you think you're hot shit
Well what do you have to offer-
A dead archetype able to be purchased on a credit card swipe
But they can they pinpoint and nail
My distance between art and commerce
With just an invoice of a sale
I will disappoint an ail
Those who want to deny us the majority rule
When a will jump in my primordial pool
Without knowing where their swim trunks were
But not everyone knows
What they're called on to encumber
You can't know by just logging on with a pin number
Buy now
You pasty Brits
Buy now
You crazy chicks
Buy
Cuz I don't pay attention to rules,
regulations or safety tips
Love us
Eligible bachelors
Love us
Cuz we're the Blowed rappers
Loved
Cuz I tour the country so much
I can do it blindfolded with no road atlas
Unrelated to your three-legged
preachy bootleggers will do away with you
CD duplicators make vegans
Do the salad bar swing-pivot
Wave your valid parking tickets
At the endangered sea-urchin
Tell me the name of your political activist key person
And I'll tell you what's under the blips of the clean version
Of the infamous rap rant
Trickling down the baggy pant leg
of this unhappy class aid
Covered in shell fragments of this
Graffiti tagged glass egg
I can sell anything to a hip-hopper
like it's my cathartic something
But I don't make enough to go apartment hunting

You can dance to death
And for no extra charge
Give me your debit card
So you can have sex with stars
This is what you have been billed for
Dancing on the kill floor
To vibrant woofer, clients butchered to a film score
This is what you have been billed for
Dancing on the kill floor
To vibrant woofer, clients butchered to a film score
…
Buy now,
I kill for a living
Buy now,
I kill for a living…",0,2007
TRAARHS128F931689D.h5,The Killers,Spaceman,"It started with a low light
Next thing I knew they ripped me from my bed
And then they took my blood type
They left a strange impression in my head

You know that I was hoping
That I could leave this star-crossed world behind
But when they cut me open
I guess I changed my mind

And you know I might have just flown
Too far from the floor this time
'Cause they're calling me by my name

And they're zipping white light beams
Disregarding bombs and satellites
And that was the turning point
That was one lonely night

The storm maker says it ain't so bad
The dream maker's gonna make you mad
The spaceman says, ""Everybody look down
It's all in your mind""

Well, now I'm back at home and
I'm looking forward to this life I live
You know it's gonna haunt me
Some hesitation to this life I give

You think you might cross over
You're caught between the devil and the deep blue sea
You better look it over
Before you make that leap

And you know I'm fine
But I hear those voices at night
Sometimes they justify my claim

And the public don't dwell on my transmission
'Cause it wasn't televised
But it was a turning point
Oh, what a lonely night

The storm maker says it ain't so bad
The dream maker's gonna make you mad
The spaceman says, ""Everybody look down
It's all in your mind""

The storm maker says it ain't so bad
The dream maker's gonna make you mad
The spaceman says, ""Everybody look down
It's all in your mind""

My global position systems are vocally addressed
They say the Nile used to run from east to west
They say the Nile used to run from east to west

I'm fine
But I hear those voices at night sometimes

The storm maker says it ain't so bad
The dream maker's gonna make you mad
The spaceman says, ""Everybody look down
It's all in your mind""

The storm maker says it ain't so bad
The dream maker's gonna make you mad
The spaceman says, ""Everybody look down
It's all in your mind""

It's all in my mind
It's all in my mind",1,2008
TRAASFP128F42980BD.h5,Orbital,Illuminate,"Paint the world anew
Find a way to open all
The joy in order to
Illuminate the strain
Fireworks in the blue
Beyond the bursting endless shine
Show me where the real light is

Building a wall inside
A wall around my heart
Building a wall inside
Yeah

Building a wall inside
A wall around my heart
Building a wall inside
Yeah

Building a wall inside
A wall around my heart
Building a wall inside
Yeah

Building a wall inside
A wall around my heart
Building a wall inside
Yeah

Paint the world anew
Find a way to open all
The joy in order to
Alleviate the strain
Fireworks in the blue
Beyond the bursting endless shine
Show me where the real light is

Show me...  where the real light is
Show me...  where the real light is

Building a wall inside
A wall around my heart (Wall around my heart)
Building a wall inside
Whoa, whoa, whoa...

Building a wall inside
A wall around my heart
Whoa, whoa, around my heart
Wall around my heart

Show me where the real light is",1,2001
TRAASKQ128F4265E04.h5,Rage Against The Machine,Kick Out The Jams,"We gotta kick 'em out

Well I feel pretty good
And I guess that I could 
Get crazy now, baby
'Cause we all got in tune
When the dressing room got hazy

I know how you want it, 
Hot, sweet, and tight
The girls can't stand it
When you do it right 
When they're up on the stand
And then they kick out the jams
Kick out the jams
I gotta kick 'em out

Yeah I'm startin' to sweat
You know my shirt's all wet
What a feelin' now baby
And the sound that abounds and
Resounds and rebounds 
Straight off of the ceiling
You gotta have it, baby
You can't do without
When you get that feelin'
You've got take'em out
Put that mic in my hand
And let me kick out the jams
Yes, kick out the jams
We gotta kick 'em out

So you got to give it up
You know you can't get enough 
Miss Mackenzie 
Cause it gets in your brain
It drives you insane
With the frenzy 
The wigglin' guitars and
The crash of the drums 
You'll wanna keep on rocking
Till the morning comes
Let me be who I am
And let me kick out the jams
Yeah, kick out the jams
I done kick 'em out",1,2000
TRAASZE128F93499AE.h5,Agnes,I Need You Now,"I need you now
I'm fine don't believe it
You know me enough to know that's a lie
I'm close hard as it is to say
To total this as I barely holding on

I need you now I need you now don't turn away
I need you now oh please don't turn me away
I need you now I need you now

Out here where I've been spinning
It's nearly impossible to slow down
One night of your company
Might be the only thing to keep me sane

The clock is ticking and the fuse is burning
Can't keep runnin' from what is coming
Don't turn me away don't turn me away

I need you now I need you now don't turn away
I need you now oh please don't turn me away

How many times have I come to you vulnerable like this?
I know you have the right to question but please don't ask
I need you now
The clock is ticking and the fuse is burning
don’t turn me away Can't keep runnin' from what is coming
I need you now
I need you now  I need you now
Don't turn away I need you now oh please  don't turn me away

I need you now The clock is ticking and the fuse is burning
I need you now  oh  please don't turn me away
I need you now I need you now

The clock is ticking and the fuse is burning
Can't keep runnin' from what is coming
The clock is ticking and the fuse is burning
Can't keep runnin' from what is coming
The clock is ticking and the fuse is burning
Can't keep runnin' from what is coming",0,0
TRAAUEO128E0780CB9.h5,Placebo,English Summer Rain,"Always stays the same. Nothing ever changes
English summer rain seems to last for ages
Always stays the same. Nothing ever changes
English summer rain seems to last for ages

I'm in the basement, you're in the sky
I'm in the basement, baby. Drop on by
I'm in the basement, you're in the sky
I'm in the basement, baby. Drop on by

Always stays the same. Nothing ever changes
English summer rain seems to last for ages
Always stays the same. Nothing ever changes
English summer rain seems to last for ages

I'm in the basement, you're in the sky
I'm in the basement, baby. Drop on by
I'm in the basement, you're in the sky
I'm in the basement, baby. Drop on by

Hold your breath and count to ten, then fall apart and start again
Hold your breath and count to ten, start again, start again
Hold your breath and count to ten, then fall apart and start again
Start again, start again. Start again, start again
Start again, start again. Start again, start again
Start again, start again. Start again, start again
Start again

Always stays the same. Nothing ever changes
English summer rain seems to last for ages
Always stays the same. Nothing ever changes
English summer rain seems to last for ages

Hold your breath and count to ten, then fall apart and start again
Hold your breath and count to ten, start again, start again
Hold your breath and count to ten, then fall apart and start again
Hold your breath and count to ten, start again, start again
Start again, start again. Start again, start again
Start again, start again. Start again, start again
Start again, start again. Start again, start again
Start again, start again. Start again, start again

[in single version]

And I can't sleep without your breathing
And I can't breathe each time you're leaving
And I pray you won't stay away
That you come back to me some day",0,2003
TRAAVRJ128F92FF90A.h5,!!!,Myth Takes,"It only takes a little bit of gleam or glimmer
Only just a little bit of shake or shiver
Nothing never matters 'til it's shattered
Spluttered and covered, splattered all over my nap

And sha, sha, sha sha sha-doobie
Sometimes it's really just like the movies

Was a glimpse, a little bit of nothing, make a difference
And nothing's been the same since the chain of events
It's the place where dreams come true
Dreams can still be nightmares too

And ah sha, sha, sha sha whoa whoa
So much it's close enough for rock 'n roll

Should have told me the world was gonna tie me back a sweater
Poets from the days of old have never said it better
Sometimes it really glitters and sometimes it's even gold
Baby, when it isn't then, it must be rock 'n roll

And ah sha, sha, sha sha sha-doobie
Sometimes it's really just like the movies

Sha, sha, sha sha sha-doobie
Sometimes you just stay home and watch movies",1,2007
